,date,value,unique,transVolume,revenue,tradeVolume,marketCap
0,2012-01-01,5.2,7701.0,0.0,38755.6,426262.035271,41639000.0
1,2012-01-02,5.4999,9669.0,0.0,41826.7395,594783.344525,44082248.49
2,2012-01-03,5.29,9207.0,0.0,42875.45,557476.602318,42442728.0
3,2012-01-04,5.6063,9255.0,0.0,43246.9982,473018.599717,45023634.67
4,2012-01-05,6.399,11542.0,0.0,47064.645,1054656.81813,51436761.75
5,2012-01-06,7.22,11043.0,0.0,61413.32,1888020.11586,58097535.0
6,2012-01-07,7.01556,9902.0,0.0,63518.88024,484924.266891,56515948.248
7,2012-01-08,7.2,10516.0,0.0,57981.6,428239.435131,58059720.0
8,2012-01-09,7.2,10229.0,0.0,58003.2,935777.458691,58117680.0
9,2012-01-10,6.89,11080.0,0.0,50324.56,848166.172425,55665688.0
10,2012-01-11,7.138,12031.0,0.0,54284.49,841167.10546,57723578.4
11,2012-01-12,6.997,11184.0,0.0,58361.977,909030.295354,56641414.7
12,2012-01-13,6.8583899897,11096.0,0.0,42583.743446,452370.556915,55561874.8236
13,2012-01-14,6.75,10567.0,0.0,54074.25,781797.291696,54737775.0
14,2012-01-15,6.98999,11200.0,0.0,51767.86594,608385.040367,56735651.833
15,2012-01-16,7.18888,11207.0,0.0,57007.8184,742853.822772,58406774.448
16,2012-01-17,6.98,11033.0,0.0,55302.54,929941.520538,56764850.0
17,2012-01-18,6.95,11962.0,0.0,49421.45,2327006.60673,56570220.0
18,2012-01-19,6.3,10970.0,0.0,42884.1,730224.229471,51322320.0
19,2012-01-20,6.58,11045.0,0.0,45684.94,601985.154708,53648714.0
20,2012-01-21,6.55,10759.0,0.0,58655.25,446998.407757,53462737.5
21,2012-01-22,6.39,8918.0,0.0,41554.17,220711.106262,52198312.5
22,2012-01-23,6.45485,10161.0,0.0,55214.7869,259120.972559,52783244.905
23,2012-01-24,6.515,11338.0,0.0,44028.37,211725.841247,53319085.75
24,2012-01-25,6.45,12942.0,0.0,50032.65,529706.301226,52837110.0
25,2012-01-26,6.2,11098.0,0.0,40343.4,996019.80095,50829460.0
26,2012-01-27,5.689,10852.0,0.0,39658.019,825301.832351,46679667.25
27,2012-01-28,5.74815,10498.0,0.0,44582.6514,531539.450065,47209555.95
28,2012-01-29,5.76,10772.0,0.0,48216.96,299939.361315,47353824.0
29,2012-01-30,5.6,10175.0,0.0,46508.0,281662.550121,46084920.0
30,2012-01-31,5.65,11376.0,0.0,44787.55,222331.809498,46541027.5
31,2012-02-01,5.638,11855.0,0.0,38095.966,281803.063454,46480235.8
32,2012-02-02,6.2,12071.0,0.0,50592.0,858000.309899,51163950.0
33,2012-02-03,6.148,12407.0,0.0,49227.036,399486.449796,50784017.0
34,2012-02-04,6.0,12959.0,0.0,49248.0,151418.289155,49610700.0
35,2012-02-05,5.9625,11232.0,0.0,40568.85,703127.204421,49341178.125
36,2012-02-06,5.79,10914.0,0.0,42869.16,388811.42951,47956543.5
37,2012-02-07,5.70999,10983.0,0.0,40854.97845,499825.872085,47334675.102
38,2012-02-08,5.8494,11209.0,0.0,38629.4376,1410604.19028,48528962.16
39,2012-02-09,5.8,11806.0,0.0,41789.0,390715.046567,48160880.0
40,2012-02-10,5.92525,12310.0,0.0,43592.06425,501592.274771,49244456.4875
41,2012-02-11,6.0,12079.0,0.0,41424.0,166725.347325,49907100.0
42,2012-02-12,5.85,11301.0,0.0,46817.55,605923.158767,48706222.5
43,2012-02-13,5.72,12245.0,587.0924381,42064.88,1150509.00459,47665904.0
44,2012-02-14,5.6,14695.0,1210.67476394,38113.6,1595943.96728,46704000.0
45,2012-02-15,4.88,14215.0,0.0,34721.2,606265.920409,40733848.0
46,2012-02-16,4.73368,14299.0,0.0,30574.83912,1022854.93167,39543032.564
47,2012-02-17,4.76998,11991.0,0.0,33881.16794,689769.489315,39880133.287
48,2012-02-18,4.49675,11605.0,0.0,39360.05275,325162.164411,37635099.45
49,2012-02-19,4.33333,10536.0,0.0,34025.30716,157343.745691,36301388.7425
50,2012-02-20,4.52,10712.0,0.0,33009.56,279579.973522,37898166.0
51,2012-02-21,4.4354,11125.0,0.0,28399.8662,199367.959757,37217219.63
52,2012-02-22,4.54,12333.0,0.0,35652.62,382274.63639,38130552.0
53,2012-02-23,4.92481,13080.0,0.0,41388.10324,681747.658978,41403862.632
54,2012-02-24,5.19778,12673.0,650.1435,37704.69612,682550.977289,43736459.921
55,2012-02-25,5.07,11532.0,255.6405434,42354.78,338506.455315,42703596.0
56,2012-02-26,5.00073,10278.0,329.64851656,38015.54946,390657.302719,42158154.192
57,2012-02-27,5.1,11131.0,1087.36162987,40310.4,244820.335916,43035330.0
58,2012-02-28,5.0,11726.0,261.98747992,37525.0,269874.599328,42229000.0
59,2012-02-29,4.9,12087.0,662.0576009,45584.7,209114.020032,41429990.0
60,2012-03-01,4.98421,12079.0,255.84679061,38906.74326,192357.785619,42180870.809
61,2012-03-02,4.98888,13152.0,847.63153459,33196.00752,673421.518843,42253568.604
62,2012-03-03,4.77995,10220.0,1526.35133801,28455.04235,197621.937436,40512466.225
63,2012-03-04,4.9,11319.0,58.64699049,31864.7,210428.503019,41561800.0
64,2012-03-05,5.04,12425.0,356.72453949,33284.16,387615.242624,42782544.0
65,2012-03-06,5.05,11913.0,1692.47527628,37390.2,208535.282091,42904800.0
66,2012-03-07,5.07,11591.0,1951.59776588,37791.78,243593.749918,43112491.5
67,2012-03-08,5.0,12250.0,1114.47105296,39020.0,253573.622211,42556250.0
68,2012-03-09,4.9499,11826.0,894.22361632,41099.0197,202271.818468,42170920.545
69,2012-03-10,4.94,10915.0,1147.65074009,42755.7,170994.419871,42129308.0
70,2012-03-11,4.99,9925.0,1085.73701239,33198.47,202433.022814,42588901.5
71,2012-03-12,4.95915,10385.0,1738.01637808,41919.69495,111077.907704,42367506.195
72,2012-03-13,5.41,12352.0,1054.85725691,41170.1,616879.766344,46260369.0
73,2012-03-14,5.4444,12273.0,2975.81349336,37593.582,373636.887535,46592086.32
74,2012-03-15,5.45,12046.0,2643.05893423,35174.3,260320.838894,46675162.5
75,2012-03-16,5.4,11928.0,1619.95513181,38647.8,162261.126921,46285560.0
76,2012-03-17,5.3998,13116.0,643.74020461,46459.8792,149637.957297,46330284.0
77,2012-03-18,5.37998,10606.0,952.5844023,41979.98394,212994.983972,46202192.244
78,2012-03-19,5.3099,11743.0,1663.17139541,41969.4496,501626.309373,45642307.43
79,2012-03-20,4.98,11698.0,1659.83681583,36871.92,763389.52049,42843438.0
